country_name,gdp_per_capita,electricity_access_pct,renewable_share_pct,energy_use_per_capita,urban_population_pct,country_code
Namibia,5009.685904,55.17709,30.69,9254.443,50.4088030252155,NAM
Nauru,11029.73558,100.0,0.61,22405.49,100.0,NRU
Nepal,1194.956876,89.9,77.39,1700.5831,66.772343163029,NPL
Netherlands,52476.27325,100.0,8.54,58836.934,95.6396517079336,NLD
New Caledonia,34788.52928,100.0,5.4,79064.88,67.9514695585577,NCL
New Zealand,42755.21626,100.0,29.65,53259.336,83.9370658833132,NZL
Nicaragua,1926.699694,88.05833,50.71,4225.4365,59.2628402709961,NIC
Niger,554.0993893,18.974571,80.83,468.4848,18.0497398450803,NER
Nigeria,2229.858652,55.4,81.4,2482.8318,62.9755675573659,NGA
North Macedonia,6070.388054,100.0,16.32,14689.626,62.5645376928533,MKD
Norway,75719.7529,100.0,62.37,96392.5,83.3293737928469,NOR
Oman,17700.70349,100.0,0.0,81070.86,79.4440302814714,OMN
Pakistan,1288.556325,74.12769,43.36,4400.1157,39.1734368360905,PAK
Panama,15774.25494,95.81633,18.91,27875.5,65.9958447685488,PAN
Papua New Guinea,2820.306397,59.662975,53.09,3159.5166,15.4061816403333,PNG
Paraguay,5380.963322,99.7,60.09,19903.92,69.8622585886961,PRY
Peru,7027.612207,95.55136,27.12,9949.632,85.1912729600355,PER
Philippines,3485.340844,95.64508,26.73,5104.391,55.4520983215477,PHL
Poland,15732.20313,100.0,12.18,30777.799,59.9705468695101,POL
Portugal,23330.81729,100.0,28.19,28468.56,61.3281907341332,PRT
Puerto Rico,32850.54861,100.0,2.42,24532.93,62.8876899795928,
Qatar,62276.42869,100.0,0.04,208021.3,99.3219891728394,QAT
Romania,12899.34611,100.0,23.54,19839.047,52.1674778928768,ROU
Rwanda,820.1492886,40.368607,77.86,525.5729,29.8849714294083,RWA
Saint Kitts and Nevis,6837.717826,100.0,1.58,23235.219,62.8876899795928,
Saint Lucia,6837.717826,99.50218,9.75,15259.877,62.8876899795928,
Saint Vincent and the Grenadines,6837.717826,100.0,5.68,8642.675,62.8876899795928,
Samoa,4322.868457,99.2,34.21,7697.959,17.5029115108018,WSM
Sao Tome and Principe,1987.579702,74.9672,37.09,3418.4949,68.8710170184884,STP
Saudi Arabia,23139.79798,100.0,0.03,82989.266,84.4554020211443,SAU
Senegal,1430.148259,70.4,37.2,2753.3909,55.2368169057304,SEN
Serbia,7417.203649,99.8,21.53,26602.787,62.3830029804177,SRB
Seychelles,16213.48076,100.0,1.47,45777.125,45.2898622460415,SYC
Sierra Leone,521.7548367,22.7,75.44,513.0044,45.3626823156371,SLE
Singapore,65640.70795,100.0,0.84,158657.89,100.0,SGP
Slovakia,6837.717826,100.0,17.64,33892.78,62.8876899795928,
Slovenia,25942.95477,100.0,20.86,37905.92,55.7577708405917,SVN
Somalia,419.3948077,49.2,95.03,227.57283,62.8876899795928,
South Sudan,1080.14718624765,6.707007,26.65,747.48596,21.3768190444906,SSD
Spain,29555.3157,100.0,17.27,33764.863,80.315199821207,ESP
Sri Lanka,3852.265603,99.75857,49.91,4973.5986,20.2996997058686,LKA
Sudan,610.9278615,53.96254,62.23,2459.3628,34.8673015510839,SDN
Suriname,6853.693411,97.82542,14.4,21629.324,65.7641857200885,SUR
Sweden,51939.42974,100.0,52.88,63283.47,88.8559748346228,SWE
Switzerland,85334.51946,100.0,24.76,39156.45,85.4615370020764,CHE
Tajikistan,890.5444024,99.63321,38.56,8041.5947,26.1788063651548,TJK
Thailand,7817.009671,99.9,23.96,20792.385,61.8689338391321,THA
Togo,893.3524541,52.36311,76.21,1304.0579,43.8148491605996,TGO
Tonga,4903.012138,98.4,1.77,6863.2144,21.1505271125521,TON
Trinidad and Tobago,16637.16294,100.0,0.43,123712.94,53.961056681951,TTO
Tunisia,3574.654024,100.0,12.2,10128.142,70.3585355691955,TUN
Turkey,9121.515167,100.0,14.12,21973.062,62.8876899795928,
Turkmenistan,7612.03518,99.9,0.06,57961.055,47.0875253910294,TKM
Tuvalu,4055.89561,99.7,8.2,0.0,64.7254793441291,TUV
Uganda,798.5857341,41.3,90.22,811.62756,31.2777698213557,UGA
Ukraine,3661.456204,100.0,7.44,21661.146,69.5315643200148,UKR
United Arab Emirates,42701.44305,100.0,0.67,134878.39,85.8171088279791,ARE
United Kingdom,43070.49836,100.0,12.24,32893.76,83.2429544416085,GBR
United States,65279.52903,100.0,10.42,79489.016,80.1247798047184,USA
Uruguay,17688.01501,99.9,60.76,19985.01,95.5981951588181,URY
Uzbekistan,1784.009816,100.0,1.57,16212.221,50.9986686706543,UZB
Vanuatu,3116.297759,64.59019,31.86,3154.4717,22.2866933360645,VUT
Yemen,6837.717826,72.751076,3.11,1475.9852,62.8876899795928,
Zambia,1305.001031,43.0,84.5,2983.8816,45.4703838491279,ZMB
Zimbabwe,1316.740657,46.781475,81.5,3003.6553,39.8933716820696,ZWE
